구,특징,업종다양성,소비안정성,성장률
강남구,학원/학습지 특화 (31.4%),보통(14개),안정적(16.8%),0.62% (→유지)
강동구,대형마트 특화 (87.1%),낮음(2개),안정적(19.8%),0.63% (→유지)
강북구,한식 특화 (78.2%),낮음(4개),안정적(18.2%),0.68% (→유지)
강서구,데이터 부족,낮음(1개),보통(21.2%),0.63% (→유지)
관악구,일식 특화 (71.4%),낮음(4개),안정적(18.1%),+2.00% (↑상승)
광진구,제과점 특화 (97.4%),낮음(2개),보통(20.4%),0.02% (→유지)
구로구,결제대행(PG) 특화 (55.1%),낮음(4개),안정적(18.5%),+1.96% (↑상승)
금천구,대형마트 특화 (47.7%),낮음(4개),안정적(18.2%),1.06% (→유지)
노원구,기타식품 특화 (76.9%),낮음(3개),안정적(18.8%),1.42% (→유지)
도봉구,실내/실외골프장 특화 (45.3%),낮음(3개),안정적(18.0%),-0.03% (→유지)
동대문구,생활잡화/수입상품점 특화 (58.1%),낮음(3개),안정적(18.0%),0.18% (→유지)
동작구,슈퍼마켓기업형 특화 (96.4%),낮음(2개),보통(20.5%),+2.76% (↑상승)
마포구,ZZ_나머지 특화 (52.7%),낮음(8개),안정적(17.1%),+1.67% (↑상승)
서대문구,백화점 특화 (61.1%),낮음(3개),안정적(18.4%),-2.42% (↓하락)
서초구,한식 특화 (90.5%),낮음(8개),안정적(19.9%),-0.79% (→유지)
성동구,주유소 특화 (81.3%),낮음(2개),안정적(19.7%),0.81% (→유지)
성북구,제과점 특화 (60.8%),낮음(2개),안정적(19.0%),+3.83% (↑상승)
송파구,전자상거래(다품목취급) 특화 (94.3%),낮음(2개),안정적(19.9%),-0.63% (→유지)
영등포구,ZZ_나머지 특화 (60.2%),낮음(6개),안정적(17.3%),+2.01% (↑상승)
용산구,"호텔/콘도(29.4%), 결제대행(PG)(25.2%)",낮음(9개),안정적(17.0%),0.95% (→유지)
은평구,대형마트 특화 (61.7%),낮음(3개),안정적(18.2%),0.74% (→유지)
종로구,한식 특화 (37.5%),낮음(5개),안정적(17.4%),0.64% (→유지)
중구,결제대행(PG) 특화 (35.0%),높음(15개),안정적(17.0%),1.38% (→유지)
중랑구,미용실 특화 (60.1%),낮음(3개),안정적(17.7%),+1.84% (↑상승)
